0.12233,0
0.12154,0.03237
0.11916,0.13234
0.11682,0.23232
0.11454,0.33229
0.11229,0.43226
0.11009,0.53224
0.10793,0.63221
0.10582,0.73218
0.10375,0.83215
0.10171,0.93212
0.09972,1.0321
0.097764,1.1321
0.095846,1.232
0.093964,1.332
0.092117,1.432
0.090306,1.5319
0.088527,1.6319
0.086782,1.7319
0.085069,1.8318
0.083387,1.9318
0.081735,2.0317
0.080113,2.1317
0.07852,2.2317
0.076954,2.3316
0.075416,2.4316
0.073904,2.5316
0.072417,2.6315
0.070954,2.7315
0.069515,2.8314
0.068099,2.9314
0.066704,3.0314
0.06533,3.1314
0.063976,3.2314
0.062639,3.3314
0.06132,3.4314
0.060016,3.5314
0.058726,3.6315
0.057447,3.7316
0.056176,3.8318
0.05491,3.9322
0.053642,4.0328
0.052365,4.1338
0.05106,4.236
0.049653,4.3434
0.047588,4.4898
0.045688,4.593
0.044787,4.6066
0.044362,4.5754
0.044251,4.4931
0.044422,4.4011
0.044728,4.3057
0.045117,4.2087
0.045568,4.1109
0.046066,4.0126
0.046605,3.9139
0.04718,3.8149
0.047788,3.7158
0.048426,3.6165
0.049093,3.5172
0.049788,3.4177
0.05051,3.3182
0.05126,3.2187
0.052036,3.119
0.052839,3.0194
0.053668,2.9197
0.054525,2.82
0.055412,2.72
0.056328,2.6197
0.057273,2.5195
0.058246,2.4192
0.059248,2.319
0.06028,2.2188
0.061342,2.1187
0.062435,2.0185
0.06356,1.9183
0.064718,1.8182
0.06591,1.718
0.067135,1.6179
0.068397,1.5178
0.069694,1.4176
0.071029,1.3175
0.072403,1.2174
0.073816,1.1173
0.07527,1.0172
0.076766,0.91711
0.078306,0.81702
0.07989,0.71693
0.08152,0.61685
0.083198,0.51677
0.084925,0.4167
0.086703,0.31662
0.088533,0.21655
0.090417,0.11649
0.092357,0.016425
0.092681,0
